発売日,バックアップメモリ,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント
2003-07-11,5,2,SLG,エム・ティー･オー,なかよしペットアドバンスシリーズ4かわいい仔犬ミニわんこと遊ぼう！！小型犬,"￥4,800","￥5,000代",0
2003-07-11,5,3,SLG,アトラス,ハムスターパラダイスピュアハート,"￥4,800","￥5,000代",0
2003-07-17,1,4,ACT,コナミ,コロッケ！2闇のバンクとバン女王！,"￥4,980","￥5,000代",0
2003-07-17,3,3,TAB,セガ,ソニックピンボールパーティ,"￥4,800","￥5,000代",0
2003-07-17,5,4,RPG,コナミ,ボクらの太陽,"￥4,980","￥5,000代",0
2003-07-18,1,3,RPG,トミー,CYBERDRIVEZOIDS機獣の戦士ヒュウ,"￥5,800","￥6,000代",0
2003-07-18,1,3,RPG,バンプレスト,ドラゴンドライブワールドDブレイク,"￥4,800","￥5,000代",0
2003-07-18,1,3,ADV,ジョルダン,ハムスター倶楽部4～しげっち大脱走～,"￥4,800","￥5,000代",0
2003-07-18,5,2,ACT,カプコン,ミッキーとミニーのマジカルクエスト2,"￥4,800","￥5,000代",0
2003-07-24,3,4,RPG,セガ,シャイニング・ソウル2,"￥5,980","￥6,000代",0
2003-07-25,5,3,RPG,カプコン,OnimushaTactics,"￥4,800","￥5,000代",0
2003-07-25,5,2,RAC,コトブキシステム,トップギア・ラリーSP,"￥4,800","￥5,000代",0
2003-07-25,5,2,SLG,ティーディーケイコア,わんニャンどうぶつ病院～☆動物のお医者さん育成ゲーム☆～,"￥4,800","￥5,000代",0
2003-07-25,5,2,PZL,アトラス,真・女神転生デビルチルドレンパズルdeコール！,"￥4,800","￥5,000代",0
2003-07-25,5,3,ADV,バンプレスト,名探偵コナン～狙われた探偵～,"￥4,800","￥5,000代",0
2003-08-01,5,2,ACT,カプコン,アラジン,"￥4,800","￥5,000代",0
2003-08-01,5,3,RPG,ナムコ,テイルズオブファンタジア,"￥4,800","￥5,000代",0
2003-08-01,1,3,TAB,任天堂,ポケモンピンボールルビー＆サファイア,"￥4,800","￥5,000代",0
2003-08-01,5,3,ADV,デジタルキッズ,幻想魔伝最遊記～反逆の闘神太子～,"￥5,800","￥6,000代",0
2003-08-01,0,4,SLG,カルチャーブレーン,仔犬といっしょ！～愛情物語～,"￥4,800","￥5,000代",0
2003-08-07,1,3,CARD,タカラ,DUELMASTERS,"￥4,800","￥5,000代",0
2003-08-07,0,3,RPG,ハドソン,ボボボーボ・ボーボボマジで！！？真拳勝負,"￥4,800","￥5,000代",0
2003-08-08,3,3,SLG,バンプレスト,スーパーロボット対戦D,"￥5,800","￥6,000代",0
2003-08-08,0,3,ETC,ロケットカンパニー,どうぶつ島のチョビぐるみ,"￥4,800","￥5,000代",0
2003-08-08,1,3,CARD,カプコン,ロックマンエグゼバトルチップGP,"￥4,800","￥5,000代",0
2003-08-22,0,3,SLG,カルチャーブレーン,おしゃれプリンセス3,"￥4,800","￥5,000代",0
2003-08-29,0,4,RPG,スクウェア・エニックス,新約聖剣伝説,"￥5,800","￥6,000代",0
2003-09-04,0,4,RPG,コナミ,GetBackers奪還屋～邪眼封印！～,"￥4,980","￥5,000代",0
2003-09-05,0,4,ACT,エム・ティー･オー,おじゃる丸～月光町さんぽでおじゃる～,"￥4,800","￥5,000代",0
2003-09-05,0,3,ADV,マーベラス,新きせかえ物語,"￥4,800","￥5,000代",0
2003-09-05,0,4,ACT,任天堂,伝説のスタフィー2,"￥4,800","￥5,000代",0
2003-09-11,0,3,PZL,コナミ,わがまま☆フェアリーミルモでポン！～対戦！まほうだま～,"￥5,800","￥6,000代",0
2003-09-12,0,3,ADV,トミー,NARUTO―ナルト―木の葉戦記,"￥4,800","￥5,000代",0
2003-09-12,0,3,RPG,アトラス,真・女神転生デビルチルドレン炎の書,"￥4,800","￥5,000代",0
2003-09-12,0,3,RPG,アトラス,真・女神転生デビルチルドレン氷の書,"￥4,800","￥5,000代",0
2003-09-18,0,4,ADV,コナミ,探偵学園Q名探偵はキミだ！,"￥4,980","￥5,000代",0
2003-09-19,0,3,ETC,カルチャーブレーン,かわいいペット！ゲームギャラリー,"￥3,300","￥3,500代",0
2003-09-26,0,2,SPT,スターフィッシュ,バトル×バトル～巨大魚伝説～,"￥4,800","￥5,000代",0
2003-09-26,0,3,RPG,アトラス,真・女神転生2,"￥4,800","￥5,000代",0
2003-09-26,0,3,ADV,キッズステーション,絶体絶命でんじゃらすじーさん～史上最強の土下座,"￥4,800","￥5,000代",0
2003-10-09,0,4,ACT,コナミ,マーメイドメロディーぴちぴちピッチ,"￥4,980","￥5,000代",0
2003-10-16,0,3,ETC,ハドソン,ボンバーマンジェッターズゲームコレクション,"￥4,800","￥5,000代",0
2003-10-16,0,2,ADV,Ｊウイング,魔探偵ロキRAGNAROK～幻想のラビリンス～,"￥5,800","￥6,000代",0
2003-10-24,0,4,RPG,任天堂,オリエンタルブルー青の天外,"￥4,800","￥5,000代",0
2003-10-24,0,3,RPG,バンプレスト,レジェンドオブダイナミック豪翔伝崩界の輪舞曲,?,?,0
2003-10-31,0,2,PZL,サクセス,みんなのソフトシリーズZOOO,"￥3,654","￥3,500代",0
2003-10-31,0,2,TAB,エム・ティー･オー,みんなのソフトシリーズみんなの麻雀,"￥2,980","￥3,000代",0
2003-10-31,0,2,PZL,サクセス,みんなのソフトシリーズ上海,"￥3,654","￥3,500代",0
2003-11-01,0,2,PZL,トミー,サンリオピューロランドオールキャラクターズ,"￥4,800","￥5,000代",0
2003-11-13,0,3,SPT,エレクトロニック・アーツ,ハリー・ポッタークイディッチ・ワールドカップ,"￥4,800","￥5,000代",0
2003-11-14,0,3,SLG,ティーディーケイコア,こいぬちゃんのはじめてのおさんぽ～子犬のこころ育成ゲーム～,"￥4,800","￥5,000代",0
2003-11-14,0,4,ADV,スクウェア・エニックス,スライムもりもりドラゴンクエスト衝撃のしっぽ団,"￥5,800","￥6,000代",0
2003-11-21,0,2,PZL,メトロ・スリーディジャパン,パズにんうみにんのパズルでにむ,"￥4,800","￥5,000代",0
2003-11-21,0,4,RPG,任天堂,マリオ＆ルイージRPG,"￥4,800","￥5,000代",0
2003-11-21,0,2,ACT,カプコン,ミッキーとドナルドのマジカルクエスト3,"￥4,800","￥5,000代",0
2003-11-21,0,2,ACT,エム・ティー･オー,みんなのソフトシリーズひょっこりひょうたん島ドン・ガバチョ大活躍の巻,"￥3,980","￥4,000代",0
2003-11-27,0,4,RPG,バンダイ,SDガンダムGジェネレーションアドバンス,"￥5,800","￥6,000代",0
2003-11-28,0,4,RAC,任天堂,F-ZEROファルコン伝説,"￥4,800","￥5,000代",0
2003-11-28,0,0,SLG,カルチャーブレーン,ハムスター物語3EX・4・スペシャル,"￥4,800","￥5,000代",0
2003-11-28,0,2,RPG,サクセス,みんなのソフトシリーズテトリスアドバンス,"￥3,654","￥3,500代",0
2003-12-04,0,4,ACT,コナミ,あしたのジョー真っ赤に燃え上がれ,"￥4,980","￥5,000代",0
2003-12-04,0,3,ACT,コナミ,クラッシュ・バンディクーアドバンス2ぐるぐるさいみん大パニック,"￥4,980","￥5,000代",0
2003-12-04,0,4,ACT,セガ,ソニックバトル,"￥4,980","￥5,000代",0
2003-12-04,0,3,SPT,コナミ,パワプロクンポケット6,"￥4,980","￥5,000代",0
2003-12-04,0,3,RPG,タカラ,冒険遊記プラスターワールド伝説のプラストゲートEX,"￥6,800","￥7,000代",0
2003-12-04,0,5,ETC,コナミ,みんなの王子様,"￥4,980","￥5,000代",0
2003-12-05,0,3,ADV,エム・ティー･オー,学園戦記ムリュウ,"￥4,800","￥5,000代",0
2003-12-05,0,2,ACT,ロケットカンパニー,ガチャステダイナデバイス2ドラゴン,"￥4,800","￥5,000代",0
2003-12-05,0,2,ACT,ロケットカンパニー,ガチャステダイナデバイス2フェニックス,"￥4,800","￥5,000代",0
2003-12-05,0,2,PZL,イマジニア,シナモロールここにいるよ,"￥4,800","￥5,000代",0
2003-12-05,0,3,ADV,エポック社,シルバニアファミリー妖精のステッキとふしぎの木,"￥4,800","￥5,000代",0
2003-12-06,0,3,ADV,ユークス,ファインディング・ニモ,"￥4,800","￥5,000代",0
2003-12-11,0,4,ACT,コナミ,ゲゲゲの奇太郎危機一髪妖列島,"￥4,980","￥5,000代",0
2003-12-11,0,2,ACT,アタリジャパン,ゴジラ怪獣大乱闘アドバンス,"￥4,800","￥5,000代",0
2003-12-11,0,4,ACT,コナミ,コロッケ3クラニュー王国の謎,"￥4,980","￥5,000代",0
2003-12-11,0,3,ADV,コナミ,わがままフェアリーミルモでポン8人の時の妖精,"￥6,800","￥7,000代",0
2003-12-12,0,2,ETC,ティーディーケイコア,カードキャプターさくらさくらカードDEミニゲーム！,"￥4,800","￥5,000代",0
2003-12-12,0,3,ACT,バンプレスト,金色のガッシュベルうなれ友情の電撃(ザゲル),"￥4,800","￥5,000代",0
2003-12-12,0,3,ACT,任天堂,スーパードンキーコング,"￥4,800","￥5,000代",0
2003-12-12,0,2,SLG,ティーディーケイコア,ピカピカナース物語はつらつナース育成ゲーム,"￥4,800","￥5,000代",0
2003-12-12,0,3,RPG,カプコン,ロックマンエグゼ4トーナメントブルームーン,"￥4,800","￥5,000代",0
2003-12-12,0,3,RPG,カプコン,ロックマンエグゼ4トーナメントレッドサン,"￥4,800","￥5,000代",0
2003-12-12,0,4,RPG,マーベラス,牧場物語～ミネラルタウンのなかまたちforガール～,"￥4,800","￥5,000代",0
2003-12-18,0,3,ACT,セガ,ASTROBOY鉄腕アトムアトムハートの秘密,"￥4,980","￥5,000代",0
2003-12-18,0,2,PZL,Ｄ３パブリッシャー,SIMPLE2960ともだちシリーズVol.3THEいつでもパズルまっすぐ揃えてストローズ,"￥2,960","￥3,000代",0
2003-12-18,0,2,TAB,Ｄ３パブリッシャー,SIMPLE2960ともだちシリーズVol.4THEトランプみんなで遊べる12種類のトランプゲーム,"￥2,960","￥3,000代",0
2003-12-18,0,4,ACT,コナミ,マーメイドメロディーぴちぴちピッチぴちぴちパーティー,"￥4,980","￥5,000代",0
2003-12-18,0,4,ACT,エレクトロニック・アーツ,メダルオブオナーアドバンス,"￥4,800","￥5,000代",0
2003-12-19,0,3,TAB,エム・ティー･オー,お茶犬の部屋,"￥3,980","￥4,000代",0
2003-12-19,0,3,SLG,カルチャーブレーン,わんわん名探偵,"￥4,800","￥5,000代",0
2003-12-30,0,2,SLG,カルチャーブレーン,魔女っ子クリームちゃんのごっこシリーズ(1)「わんにゃんアイドル学園」,"￥4,800","￥5,000代",0
2004-01-08,0,4,ACT,エレクトロニック・アーツ,ロードオブザリング/王の帰還,"￥4,800","￥5,000代",0
2004-01-22,0,4,SLG,エレクトロニック・アーツ,ザ・シムズ,"￥4,800","￥5,000代",0
2004-01-23,0,3,ADV,カプコン,逆転裁判3,"￥4,800","￥5,000代",0
2004-01-29,0,4,RPG,任天堂,ポケットモンスターファイアレッド,"￥4,800","￥5,000代",154
2004-01-29,0,4,RPG,任天堂,ポケットモンスターリーフグリーン,"￥4,800","￥5,000代",123
2004-02-05,0,4,CARD,コナミ,遊☆戯☆王デュエルモンスターズエキスパート3,"￥4,800","￥5,000代",0
2004-02-11,0,3,ACT,エレクトロニック・アーツ,007エブリシングオアナッシング,"￥4,800","￥5,000代",0
2004-02-12,0,3,ADV,セガ,リリパット王国～リリモニといっしょプニ！～,"￥4,800","￥5,000代",0
2004-02-14,0,2,ACT,任天堂,ファミコンミニ01スーパーマリオブラザーズ,"￥2,000","￥2,000代",128
2004-02-14,0,1,ACT,任天堂,ファミコンミニ02ドンキーコング,"￥2,000","￥2,000代",0
2004-02-14,0,2,ACT,任天堂,ファミコンミニ03アイスクライマー,"￥2,000","￥2,000代",0
2004-02-14,0,1,RAC,任天堂,ファミコンミニ04エキサイトバイク,"￥2,000","￥2,000代",0
2004-02-14,0,1,RPG,任天堂,ファミコンミニ05ゼルダの伝説1,"￥2,000","￥2,000代",0
2004-02-14,0,1,ACT,ナムコ,ファミコンミニ06パックマン,"￥2,000","￥2,000代",0
2004-02-14,0,2,SHT,ナムコ,ファミコンミニ07ゼビウス,"￥2,000","￥2,000代",0
2004-02-14,0,1,ACT,ナムコ,ファミコンミニ08マッピー,"￥2,000","￥2,000代",0
2004-02-14,0,1,ACT,ハドソン,ファミコンミニ09ボンバーマン,"￥2,000","￥2,000代",0
2004-02-14,0,1,SHT,ハドソン,ファミコンミニ10スターソルジャー,"￥2,000","￥2,000代",0
2004-03-04,0,4,ADV,コナミ,探偵学園Q究極トリックに挑め！,"￥4,980","￥5,000代",0
2004-03-05,0,3,SLG,エム・ティー･オー,おしゃれワンコ,"￥5,040","￥5,000代",0
2004-03-05,0,2,RPG,アトラス,ダウンタウン熱血物語ex,"￥4,800","￥5,000代",0
2004-03-05,0,2,ACT,アトラス,ダブルドラゴン双載龍Advance,"￥4,800","￥5,000代",0
2004-03-05,0,3,ACT,ジョルダン,対決！ウルトラヒーロー,"￥4,800","￥5,000代",0
2004-03-11,0,3,SPT,バンダイ,ワンピースゴーイングベースボール,"￥5,040","￥5,000代",0
2004-03-18,0,5,SPT,コナミ,テニスの王子様2004GloriousGold,"￥4,980","￥5,000代",0
2004-03-18,0,5,SPT,コナミ,テニスの王子様2004StylishSilver,"￥4,980","￥5,000代",0
2004-03-18,0,4,CARD,タカラ,デュエル・マスターズ2～インビンシブル・アドバンス～,"￥4,800","￥5,000代",0
2004-03-18,0,5,ACT,コナミ,マーメイドメロディーぴちぴちピッチぴちぴちっとライブスタート！,"￥4,980","￥5,000代",0
2004-03-18,0,3,ADV,キッズステーション,絶体絶命でんぢゃらすじｰさん泣きの1回～絶対服従ばいおれんす校長わがはいが一番えらいんじゃい！！～,"￥4,800","￥5,000代",0
2004-03-18,0,3,CARD,コナミ,遊☆戯☆王双六のスゴロク,"￥4,980","￥5,000代",0
2004-03-25,0,4,RPG,ハドソン,ボボボーボ・ボーボボ9極戦士ギャグ融合,"￥4,800","￥5,000代",0
2004-03-25,0,3,ETC,カルチャーブレーン,魔女っ子クリームちゃんのごっこシリーズ2,?,?,0
2004-03-26,0,3,SLG,ティーディーケイコア,あかちゃんどうぶつ園～動物のあかちゃん飼育係育成ゲーム！！～,"￥4,800","￥5,000代",0
2004-03-26,0,4,ACT,バンプレスト,ドラゴンボールZ舞空闘劇,"￥4,800","￥5,000代",0
2004-03-26,0,2,ADV,マーベラス,ぷくぷく天然かいらんばん-恋のキューピット大作戦-,"￥4,800","￥5,000代",0
2004-03-26,0,3,ADV,マーベラス,リカちゃんのおしゃれ日記,?,?,0
2004-03-26,0,3,RPG,バンダイ,鋼の錬金術師迷走の輪舞曲,"￥4,800","￥5,000代",0
2004-04-01,0,3,RAC,バンダイ,デジモンレーシング,"￥5,040","￥5,000代",0
2004-04-01,0,4,ADV,マーベラス,東京魔人学園符咒封録,"￥6,090","￥6,000代",0
2004-04-02,0,4,SLG,カルチャーブレーン,仔犬といっしょ2～愛情物語～,"￥5,040","￥5,000代",0
2004-04-15,0,4,ACT,任天堂,星のカービィ鏡の大迷宮,"￥4,800","￥5,000代",74
2004-04-16,0,4,ADV,バンプレスト,クレヨンしんちゃん嵐を呼ぶシネマランドの大冒険！,"￥5,040","￥5,000代",0
2004-04-22,0,4,SPT,チュンソフト,シレン・モンスターズNETSAL,"￥5,040","￥5,000代",0
2004-04-22,0,4,SPT,任天堂,マリオゴルフGBAツアー,"￥4,800","￥5,000代",0
2004-04-23,0,3,SLG,NECインターチャネル,Piaキャロットへようこそ！！3.3,"￥5,900","￥6,000代",0
2004-04-23,0,4,ADV,エム・ティー･オー,カードキャプターさくら-さくらカード編-～さくらとカードとおともだち～,?,?,0
2004-04-23,0,3,RPG,カプコン,ロックマンZERO3,"￥5,040","￥5,000代",0
2004-04-23,0,3,SLG,キングレコード,宇宙のステルヴィア,?,?,0
2004-04-29,0,3,ACT,トミー,NARUTO-ナルト-最強忍者大結集2,"￥5,040","￥5,000代",0
2004-04-29,0,4,ADV,フウキ,ZEROONESP,"￥5,040","￥5,000代",0
2004-04-29,0,3,RPG,コナミ,ピューと吹く！ジャガービョ～と出る！メガネくん,"￥5,229","￥5,000代",0
2004-04-29,0,4,ACT,トミー,ミッキーのポケットリゾート,"￥5,040","￥5,000代",0
2004-04-30,0,2,SHT,スターフィッシュ,鋼鉄帝国fromHOT・B,"￥5,040","￥5,000代",0
2004-05-13,0,3,ADV,バンダイ,機動戦士ガンダムSEED友と君と戦場で。,"￥5,040","￥5,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ11マリオブラザーズ,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ12クルクルランド,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ13バルーンファイト,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ14レッキングクルー,"￥2,000","￥2,000代",0
2004-05-21,0,2,PZL,任天堂,ファミコンミニ15ドクターマリオ,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ16ディグダグ,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ17高橋名人の冒険島,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ18魔界村,"￥2,000","￥2,000代",0
2004-05-21,0,2,SHT,任天堂,ファミコンミニ19ツインビー,"￥2,000","￥2,000代",0
2004-05-21,0,2,ACT,任天堂,ファミコンミニ20がんばれゴエモンからくり道中,"￥2,000","￥2,000代",0
2004-05-27,0,2,ACT,ジャレコ,じゃじゃ丸Jr.伝承記～ジャレコレもあり候～,"￥5,040","￥5,000代",0
2004-05-27,0,3,ACT,任天堂,メトロイドゼロミッション,"￥4,800","￥5,000代",0
2004-06-10,0,4,ACT,任天堂,マリオvs.ドンキーコング,"￥4,800","￥5,000代",0
2004-06-17,0,4,ACT,セガ,ソニックアドバンス3,?,?,0
2004-06-17,0,3,ACT,コナミ,フロッガー古代文明のなぞ,"￥5,229","￥5,000代",0
2004-06-24,0,3,SPT,ミコット・エンド・バサラ,BBボール,"￥6,090","￥6,000代",0
2004-06-24,0,2,ACT,カルチャーブレーン,スーパーチャイニーズ1・2アドバンス,"￥5,040","￥5,000代",0
2004-06-24,0,4,RPG,スクウェア・エニックス,ドラゴンクエストキャラクターズトルネコの大冒険3アドバンス不思議のダンジョン,"￥5,980","￥6,000代",0
2004-06-25,0,3,PZL,エム・ティー･オー,ワンコでくるりん！ワンクル,"￥5,040","￥5,000代",0
2004-06-26,0,4,ACT,エレクトロニック・アーツ,ハリー・ポッターとアズカバンの囚人,"￥5,040","￥5,000代",0
2004-07-01,0,3,ACT,任天堂,スーパードンキーコング2,"￥4,800","￥5,000代",0
2004-07-15,0,4,ACT,バンダイ,かいけつゾロリとまほうのゆうえんちお姫様をすくえ！,"￥5,040","￥5,000代",0
2004-07-15,0,4,SLG,ブロッコリー,でじこミュニケーション2(にょ)打倒！ブラックゲマゲマ団,?,?,0
2004-07-15,0,4,SPT,任天堂,とっとこハム太郎ハムハムスポーツ,"￥4,800","￥4,800",0
2004-07-15,0,3,SLG,ＥＲＴＡＩＮ,モンスターサマナー,?,?,0
2004-07-15,0,3,SLG,コナミ,わがまま☆フェアリーミルモでポン！夢のカケラ,"￥5,229","￥5,000代",0
2004-07-16,0,3,RPG,バンプレスト,金色のガッシュベル！！魔界のブックマーク,"￥5,040","￥5,000代",0
2004-07-16,0,3,ACT,キッズステーション,絶体絶命でんぢゃらすじーさん痛～怒りのおしおきブルース～,?,?,0
2004-07-22,0,4,RAC,コナミ,GetRide！アムドライバー閃光のヒーロー誕生！,"￥5,229","￥5,000代",0
2004-07-22,0,4,RPG,トミー,NARUTO-ナルト-ナルトRPG～受けつがれし火の意志～,"￥5,040","￥5,000代",0
2004-07-22,0,4,ACT,コナミ,コロッケ！4バンクの森の守護神,"￥5,229","￥5,000代",0
2004-07-22,0,3,CARD,タカラ,デュエルマスターズ2切札勝舞Ver.,"￥5,040","￥5,000代",0
2004-07-22,0,3,ADV,ティーディーケイコア,学校の怪談アドバンス～百妖箱の封印～,?,?,0
2004-07-22,0,3,ADV,バンダイ,鋼の錬金術師想い出の奏鳴曲,"￥5,040","￥5,000代",0
2004-07-22,0,4,RPG,コナミ,続ボクらの太陽～太陽少年ジャンゴ～,"￥5,229","￥5,000代",0
2004-07-23,0,3,ACT,バンプレスト,DRAGONBALLZTHELEGACYOFGOKUIIINTERNATIONAL,"￥5,040","￥5,000代",0
2004-07-24,0,3,PZL,セガ,ぷよぷよフィーバー,"￥5,040","￥5,000代",0
2004-07-29,0,4,RPG,スクウェア・エニックス,FINALFANTASYI・IIADVANCE,"￥6,090","￥6,000代",0
2004-07-29,5,3,PZL,アルゼ,ドンちゃんパズル花火でドーン！アドバンス,"￥5,040","￥5,000代",0
2004-07-29,0,3,SPT,コナミコンピュータエンタテインメントスタジオ,パワプロクンポケット1・2,"￥4,179","￥4,000代",0
2004-07-29,0,3,RPG,バンダイ,レジェンズ甦る試練の島,?,?,0
2004-07-29,2,2,SLG,アルゼ,花火百景アドバンス,"￥5,040","￥5,000代",0
2004-08-05,5,3,ADV,アトラス,B-伝説！バトルビーダマン～燃えろ！ビー魂！！～,"￥5,040","￥5,000代",0
2004-08-05,5,3,ACT,バンダイ,SDガンダムフォース,"￥5,040","￥5,000代",0
2004-08-05,2,3,SLG,ロケットカンパニー,ウルトラ警備隊モンスターアタック,?,?,0
2004-08-05,1,3,RPG,セガ,シャニング・フォース～黒き竜の復活～,?,?,0
2004-08-05,0,2,ADV,ロケットカンパニー,どうぶつ島のチョビぐるみ2タマちゃん物語,?,?,0
2004-08-05,5,3,SLG,ティーディーケイコア,ひまわりどうぶつ病院～ペットのお医者さん育成ゲーム～,?,?,0
2004-08-05,1,4,ACT,任天堂,伝説のスタフィー3,"￥5,040","￥5,000代",0
2004-08-06,1,3,RPG,カプコン,ロックマンエグゼ4.5リアルオペレーション,"￥5,040","￥5,000代",0
2004-08-10,0,2,ACT,任天堂,ファミコンミニ21スーパーマリオブラザーズ2,"￥2,000","￥2,000代",0
2004-08-10,0,2,ACT,任天堂,ファミコンミニ22謎の村雨城,"￥2,000","￥2,000代",0
2004-08-10,0,2,ACT,任天堂,ファミコンミニ23メトロイド,"￥2,000","￥2,000代",0
2004-08-10,0,2,ACT,任天堂,ファミコンミニ24光神話パルテナの鏡,"￥2,000","￥2,000代",0
