発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー
1985-01-01,MSX,-,32K,バンダイ,キン肉マンコロシアムデスマッチ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,アスキー,クィーンズゴルフ,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,BIT2,クインプル,￥,￥0代,1,ASCII_8KB
1986-01-01,MSX,ACT,32K,コナミ,グーニーズ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,クエスト,￥,￥0代,1,Mirrored
1990-01-01,MSX2,-,1M,コナミ,クォース,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,16K,ZAP,グライダー,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,SHT,1M,コナミ,グラディウス,"￥4,980","￥5,000代",1,Konami48KB(noSCC)
1987-01-01,MSX,SHT,1M,コナミ,グラディウス2,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1985-01-01,MSX,-,不明,ヤマハ,グラフィックアーティスト,"￥7,800","￥8,000代",1,?
1986-01-01,MSX,-,不明,ヤマハ,グラフィックアーティストユーティリティ,"￥7,800","￥8,000代",1,?
1985-01-01,MSX,-,不明,ヤマハ,グラフィックカードセット,"￥19,800","￥20,000代",1,?
1984-01-01,MSX,-,不明,ソニー,グラフィックボール+エディー2,"￥20,400","￥20,500代",1,?
1985-01-01,MSX,-,不明,ソニー,グラフィックマスターラボ,"￥6,800","￥7,000代",1,?
1987-01-01,MSX2,-,2M,スキャップアトラスト,クリムゾン,￥,￥0代,1,ASCII_8KB
1985-01-01,MSX,-,32K,ポニーキャニオン,クルゼーダー,"￥4,900","￥5,000代",1,Standard(startat0x4000)
1983-01-01,MSX,-,8K,ソニー,クレイジートレイン,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,1M,ハート電子産業,クレイズ,"￥5,800","￥6,000代",1,ASCII_16KB
1983-01-01,MSX,-,16K,アスキー,クレージーブレット,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1985-01-01,MSX,-,64K,デービーソフト,クロスブレイム,"￥5,800","￥6,000代",1,[クロスブレイム] rom
1985-01-01,MSX,-,32K,コンプティーク,グロックスリベンジ,"￥4,900","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,マスティール,クンフーマスター,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,32K,カシオ,ゲームランド,"￥7,800","￥8,000代",1,*0
1985-01-01,MSX,-,不明,カシオ,ゲームランドスペシャル,"￥8,900","￥9,000代",1,?
1984-01-01,MSX,-,16K,コナミ,けっきょく南極大冒険,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,1M,ポニーキャニオン,ケンペレンチェス,"￥5,500","￥5,500代",1,ASCII_16KB
1986-01-01,MSX,-,32K,ソニー,コースターレース,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,32K,ポニーキャニオン,ゴーストバスター,￥,￥0代,1,Mirrored
1988-01-01,MSX,-,2M,コナミ,ゴーファーの野望EPISODEII,"￥5,800","￥6,000代",1,Konami58KB(SCC)
1983-01-01,MSX,-,16K,マジックソフト,ゴキブリ大作戦,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,バンダイ,ゴジラVS3大怪獣,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,東宝,ゴジラくん,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ソニー,コスモエクスプローラ,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,コナミ,コナミEC700,"￥34,800","￥35,000代",1,?
1985-01-01,MSX,-,16K,コナミ,コナミのゲームを10倍楽しむカートリッジ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,コナミ,コナミのゴルフ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,コナミ,コナミのサッカー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,カシオ,コナミのテニス,"￥4,800","￥5,000代",1,?
1984-01-01,MSX,-,16K,コナミ,コナミのテニス,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,コナミ,コナミのピンポン,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ハドソン,コナミのプーヤン,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,コナミのベースボール,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,コナミ,コナミのベースボール,"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,32K,コナミ,コナミのボクシング,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,1M,コナミ,コナミの新10倍カートリッジ,"￥5,800","￥6,000代",1,[コナミの新10倍カートリッジ] rom
1984-01-01,MSX,-,32K,コナミ,コナミの麻雀道場,"￥6,000","￥6,000代",1,Mirrored
1983-01-01,MSX,-,16K,アスキー,コメットテイル,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1986-01-01,MSX,-,32K,ポニーキャニオン,ゴルゴ13狼の巣,￥,￥0代,1,Mirrored
1983-01-01,MSX,-,16K,アスキー,ゴルフゲーム,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1984-01-01,MSX,-,32K,ハドソン,ゴルフ狂,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,2M,ポニーキャニオン,コロニスリフト,"￥5,800","￥6,000代",1,ASCII_16KB
1983-01-01,MSX,-,8K,レイゾン,コンドリ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,コンピューターオセロ,"￥3,500","￥3,500代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,コンピューターチェス,"￥4,000","￥4,000代",1,Mirrored
1983-01-01,MSX,-,8K,ソニー,コンピュータービリヤード,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,不明,-,不明,ソニー,コンピュータパチンコ,￥,￥0代,1,?
1985-01-01,MSX,-,32K,カシオ,コンピュータ入門,"￥5,800","￥6,000代",1,*0
1985-01-01,MSX,-,不明,三菱,コンピュー簿,"￥6,800","￥7,000代",1,?
1988-01-01,MSX,-,不明,キャンドゥ,コンポーザ・コンバータ,"￥5,800","￥6,000代",1,?
1986-01-01,MSX,-,32K,アスキー,ザ・キャッスル,"￥5,800","￥6,000代",1,Mirrored
1986-01-01,MSX,-,32K,アスキー,ザ・キャッスルエクセレント,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX2,-,1M,タイトー／ニデコ,ザ・コックピット,"￥6,800","￥7,000代",1,ASCII_16KB
1988-01-01,MSX2,-,1M,パック・イン・ビデオ,ザ・ゴルフ,"￥6,800","￥7,000代",1,?
1985-01-01,MSX,-,32K,BPS／アスキー,ザ・ブラックオニキス,"￥6,800","￥7,000代",1,ASCII_16KB
1986-01-01,MSX,-,1M,BPS／アスキー,ザ・ブラックオニキスIIファイヤークリスタルを求めて,"￥6,800","￥7,000代",1,ASCII_16KB
1983-01-01,MSX,-,16K,アスキー,ザ・ブレイン,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1986-01-01,MSX,-,64K,ヤマハ,ザ・ペインタ,￥,￥0代,1,?
1986-01-01,MSX,-,32K,チャンピオンソフト,ザ・競馬,￥,￥0代,1,Mirrored
1984-01-01,MSX,-,16K,コナミ,サーカスチャーリー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,カシオ,サーカスチャーリー,"￥4,800","￥5,000代",1,?
1985-01-01,MSX,-,16K,ソニー,サイオン,"￥4,000","￥4,000代",1,Mirrored
1987-01-01,MSX,-,2M,KGD,サイキックウォー,"￥8,800","￥9,000代",1,ASCII_8KB+SRAM
1984-01-01,MSX,-,16K,タイトー／ニデコ,ザイゾログ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ポニーキャニオン,ザクソン,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,マスティール,ササ(SASA),"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,ザナックAI,"￥4,900","￥5,000代",1,Mirrored
1986-01-01,MSX2,-,1M,ポニーキャニオン,ザナックEX,"￥5,800","￥6,000代",1,ASCII_16KB
1987-01-01,MSX,-,2M,ファルコム,ザナドゥ,"￥7,800","￥8,000代",1,ASCII_8KB+SRAM
1985-01-01,MSX,-,32K,アスキー,サンダーボール,"￥5,800","￥6,000代",1,Mirrored
1986-01-01,MSX,-,32K,ピクセル,サンダーボルト,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,シーソー,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ハドソン,ジェトセットウォーリー(JetSetWilly),"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,ＭＩＡ,ジグソーセット,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,クロスメディア,ジグソーパズル,"￥4,800","￥5,000代",1,?
1986-01-01,MSX,-,32K,日本デクスタ,シティコネクション,"￥5,700","￥5,500代",1,Mirrored
1985-01-01,MSX,-,不明,日本コロムビア,ジャイロアドベンチャー,"￥4,800","￥5,000代",1,?
1986-01-01,MSX,-,32K,タイトー／ニデコ,ジャイロダイン,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ビクター音産,シャウトマッチ,"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,-,1M,ハドソン,ジャガー5魔の三角地帯作戦,"￥5,800","￥6,000代",1,ASCII_16KB
1984-01-01,MSX,-,8K,日本コロムビア,ジャンプコースター,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ハドソン,ジャン狂,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,ジャン狂,"￥4,800","￥5,000代",1,?
1987-01-01,MSX2,-,1M,パナソフト,ジュニアメイト,"￥9,800","￥10,000代",1,?
1983-01-01,MSX,-,8K,ソニー,ジュノファースト,"￥4,000","￥4,000代",1,Mirrored
1985-01-01,MSX,-,32K,ビクター音産,ジョイテロップ,"￥25,000","￥25,000代",1,Mirrored
1985-01-01,MSX,-,不明,ビクター音産,ジョイレター,"￥14,800","￥15,000代",1,?
1983-01-01,MSX,-,不明,クロストーク,ジョーキングマン,"￥4,800","￥5,000代",1,?
1988-01-01,MSX2,-,64K,BIT2,シンセサウルス,"￥6,800","￥7,000代",1,Mirrored
1986-01-01,MSX,-,16K,カシオ,シンドバッド7つの冒険,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,タイトー／ニデコ,スイートアーコン,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,不明,東芝/東芝ＥＭＩ,すいすいローラー,"￥4,800","￥5,000代",1,?
1984-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,スゥーワーサム,"￥6,800","￥7,000代",1,Mirrored
1983-01-01,MSX,-,8K,コナミ,スーパーコブラ,"￥4,000","￥4,000代",1,Mirrored
1984-01-01,MSX,-,32K,ソニー,スーパーゴルフ,"￥6,200","￥6,000代",1,Mirrored
1985-01-01,MSX,-,32K,ソニー,スーパーサッカー,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ビクター音産,スーパーシンセ,"￥5,800","￥6,000代",1,Mirrored
1983-01-01,MSX,-,8K,ＨＡＬ研究所,スーパースネーク,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,マイクロキャビン,スーパー大戦略,"￥8,800","￥9,000代",1,ASCII_16KB+SRAM
1984-01-01,MSX,-,16K,ソニー,スーパーテニス,"￥4,500","￥4,500代",1,Mirrored
1986-01-01,MSX2,-,1M,ザインソフト,スーパートリトーン,"￥5,900","￥6,000代",1,ASCII_8KB
1983-01-01,MSX,-,16K,アスキー,スーパードリンカー(SUPERDRINKER),"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,日本コロムビア,スーパーパチンコ,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,1M,タイトー／ニデコ,スーパーピエロ,"￥5,800","￥6,000代",1,[スーパーピエロ] rom
1984-01-01,MSX,-,8K,ＨＡＬ研究所,スーパービリヤード,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1985-01-01,MSX,-,不明,エミールソフト,スーパーモニター1.1,￥,￥0代,1,Mirrored
1985-01-01,MSX,-,不明,エミールソフト,スーパーモニター1.2,￥,￥0代,1,Mirrored
1987-01-01,MSX2,-,1M,ポニーキャニオン,スーパーランナー(SUPERRUNNER),"￥5,800","￥6,000代",1,ASCII_8KB
1986-01-01,MSX2,-,1M,パック・イン・ビデオ,スーパーランボースペシャル,"￥5,800","￥6,000代",1,ASCII_16KB
1987-01-01,MSX,-,2M,T＆E SOFT,スーパーレイドックミッションストライカー,"￥6,800","￥7,000代",1,ASCII_8KB
1980-01-01,MSX,-,2M,T＆E SOFT,スーパーレイドックミッションストライカーネットワークバージョン,"￥6,800","￥7,000代",1,?
1987-01-01,MSX2,-,1M,アイレム,スーパーロードランナー,"￥5,800","￥6,000代",1,?
1987-01-01,MSX2,-,1M,ポニーキャニオン,スーパーロードランナー,"￥5,800","￥6,000代",1,[スーパーロードランナー] rom
1985-01-01,MSX,-,32K,ポニーキャニオン,ズーム909,"￥4,900","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,東芝/東芝ＥＭＩ,スカーレット7,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,マジカルズゥ,スカイギャルド,"￥4,800","￥5,000代",1,Standard(startat0x4000)
1984-01-01,MSX,-,16K,コナミ,スカイジャガー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,カシオ,スキーコマンド,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,シリウス,スクイッシュゼム(SQUISH'EM),"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ポニーキャニオン,スクーター,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,スクエアダンサー,"￥5,800","￥6,000代",1,Mirrored
1983-01-01,MSX,-,8K,アンプルソフトウエア,スクランブルエッグ,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX2,-,2M,タイトー／ニデコ,スクランブルフォーメーション,"￥5,800","￥6,000代",1,ASCII_8KB
1980-01-01,不明,-,不明,アスキー,スコーピオン,￥,￥0代,1,?
1983-01-01,MSX,-,16K,ソニー,スコープオン,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1988-01-01,MSX2,-,1M,ポニーキャニオン,スターヴァージン,"￥5,300","￥5,500代",1,ASCII_8KB
1983-01-01,MSX,-,16K,アスキー,スターコマンド,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1984-01-01,MSX,-,16K,NEXA,スターシップシミュレータ,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ハドソン,スターソルジャー,"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ジャスト,スタートラップくりいむレモン,"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,32K,ハドソン,スターフォース,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ソニー,スターブレーザー,"￥4,000","￥4,000代",1,Mirrored
1987-01-01,MSX2,-,1M,ＨＡＬ研究所,ずっこけやじきた隠密道中,"￥5,600","￥5,500代",1,ASCII_8KB
1985-01-01,MSX,-,16K,アスキー,ステッパー,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,8K,ＨＡＬ研究所,ステップアップ,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,8K,東芝/東芝ＥＭＩ,ステップアップ,"￥4,800","￥5,000代",1,?
1987-01-01,MSX,-,32K,日本デクスタ,ストレンジループ,"￥5,700","￥5,500代",1,Mirrored
1986-01-01,MSX,-,32K,ＨＡＬ研究所,スネイクイット,"￥5,500","￥5,500代",1,Mirrored
1983-01-01,MSX,-,8K,ソニー,スパーキー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,タイトー／ニデコ,スペースインベーダー,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,パック・イン・ビデオ,スペースキャンプ,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,不明,ポニーキャニオン,スペースシャトル,"￥4,900","￥5,000代",1,?
1984-01-01,MSX,-,8K,ＨＡＬ研究所,スペーストラブル,"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2/2+,-,2M,コナミ,スペースマンボウ,"￥6,800","￥7,000代",1,Konami58KB(SCC)
1983-01-01,MSX,-,8K,ＨＡＬ研究所,スペースメイズアタック,"￥4,800","￥5,000代",1,*0
1986-01-01,MSX,-,32K,カシオ,スペランカー,"￥4,900","￥5,000代",1,?
1986-01-01,MSX,-,32K,アイレム,スペランカー,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,カシオ,ゼクサスリミテッド,"￥5,800","￥6,000代",1,?
1985-01-01,MSX,-,32K,デービーソフト,ゼクサスリミテッド,"￥5,800","￥6,000代",1,Mirrored
1989-01-01,MSX2,-,2M,ナムコ,ゼビウスファードラウト伝説,"￥6,800","￥7,000代",1,ASCII_16KB
1988-01-01,MSX2,-,不明,マイコンソフト,センサーキッド,"￥6,800","￥7,000代",1,?
1984-01-01,MSX,-,16K,ポニーキャニオン,ゼンジー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ソニー,センジョー,"￥4,000","￥4,000代",1,Mirrored
1988-01-01,MSX2,-,1M,東芝/東芝ＥＭＩ,ゾイド中央大陸の戦い,"￥5,800","￥6,000代",1,ASCII_16KB
1987-01-01,MSX,-,64K,電波新聞社,ソフィア,"￥5,300","￥5,500代",1,ASCII_8KB
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,ゾルニエクセリオン2(ZorniExerion2),"￥4,800","￥5,000代",1,Mirrored
1989-01-01,MSX2,-,1M,ハイスコア,ゾンビハンター,"￥5,800","￥6,000代",1,ASCII_8KB
1987-01-01,MSX2,-,1M,ハドソン,ダーウィン4078,"￥5,800","￥6,000代",1,ASCII_8KB
1983-01-01,MSX,-,16K,マスティール,ターボート,"￥4,800","￥5,000代",1,Mirrored
1983-01-01,MSX,-,16K,シリウス,ターモイル(TURMOIL),"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX,-,1M,東芝/東芝ＥＭＩ,ダイナマイトボウル,"￥5,800","￥6,000代",1,ASCII_16KB
1988-01-01,MSX2,-,1M,東芝/東芝ＥＭＩ,ダイナマイトボウル,￥,￥0代,1,ASCII_16KB
1983-01-01,MSX,-,16K,コナミ,タイムパイロット(TIMEPILOT),"￥4,800","￥5,000代",1,Mirrored
1987-01-01,MSX,-,32K,ブラザー工業,タケル伝説,"￥2,500","￥2,500代",1,Mirrored
1984-01-01,MSX,-,16K,マスティール,タティカ,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,アスキー,ダビデ2,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,2M,ハード,ダブルヴィジョン,￥,￥0代,1,ASCII_8KB
1985-01-01,MSX,-,32K,コンプティーク,ダムバスター,"￥5,900","￥6,000代",1,Mirrored
1984-01-01,MSX,-,16K,アスキー,たわらくん,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ＨＡＬ研究所,ダンクショット,"￥5,600","￥5,500代",1,Mirrored
1984-01-01,MSX,-,8K,ナムコ,タンクバタリアン,"￥4,500","￥4,500代",1,Mirrored
1989-01-01,MSX,-,1M,アスキー,ダンジョンハンター,"￥12,800","￥13,000代",1,ASCII_16KB
1986-01-01,MSX,-,32K,アスキー,ダンジョンマスター,"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,チェッカーズインTANTANたぬき,"￥4,800","￥5,000代",1,Mirrored
1980-01-01,MSX2,-,2M,ザインソフト,チャアムクリスマス,￥,￥0代,1,?
1985-01-01,MSX,-,不明,エプソン,ちゃっかりCOPY,"￥12,000","￥12,000代",1,?
1984-01-01,MSX,-,16K,タイトー／ニデコ,ちゃっくんぽっぷ,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ポニーキャニオン,チャレンジダービー,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,チャンピオンアイスホッケー,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ポニーキャニオン,チャンピオンサッカー,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ソニー,チャンピオンシップロードランナー,"￥5,800","￥6,000代",1,Mirrored
1985-01-01,MSX,-,32K,コンプティーク,チャンピオンバルダーダッシュ,"￥5,900","￥6,000代",1,*0
1985-01-01,MSX,-,32K,ポニーキャニオン,チャンピオンプロレス,"￥5,500","￥5,500代",1,Mirrored
1985-01-01,MSX,-,32K,ポニーキャニオン,チャンピオンボクシング,"￥5,500","￥5,500代",1,Mirrored
1986-01-01,MSX,-,32K,ポニーキャニオン,チャンピオン剣道,"￥4,900","￥5,000代",1,Mirrored
1985-01-01,MSX,-,32K,ソニー,チョップリフター,"￥4,900","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,タイトー／ニデコ,チョロQ,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,カシオ,ツインビー,"￥4,800","￥5,000代",1,?
1986-01-01,MSX,-,32K,コナミ,ツインビー,"￥4,800","￥5,000代",1,Mirrored
1980-01-01,MSX2,-,不明,T＆E SOFT,ディーヴァネットワークバージョン,￥,￥0代,1,?
1987-01-01,MSX,-,2M,T＆E SOFT,ディーヴァアスラの血流,"￥6,800","￥7,000代",1,ASCII_8KB
1988-01-01,MSX,-,1M,スキャップアトラスト,ディープダンジョン2勇士の紋章,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM
1988-01-01,MSX,-,1M,スキャップアトラスト,ディープダンジョン魔洞戦記,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM
1987-01-01,MSX2,-,1M,ザインソフト,ディープフォレスト,"￥5,800","￥6,000代",1,ASCII_8KB
1984-01-01,MSX,-,32K,ナムコ,ディグダグ,"￥4,500","￥4,500代",1,Mirrored
1984-01-01,MSX,-,16K,アスキー,デインジャーX4,"￥4,800","￥5,000代",1,Basic(startat0x8000)
1985-01-01,MSX,-,不明,ヤマハ,データメモリカートリッジ,"￥9,800","￥10,000代",1,?
1986-01-01,MSX,-,32K,電波新聞社,デーモンクリスタル,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,ポニーキャニオン,デカスロン,"￥4,800","￥5,000代",1,Mirrored
1986-01-01,MSX,-,32K,ゲームアーツ,テクザー(THEXDER),"￥5,800","￥6,000代",1,Mirrored
1987-01-01,MSX,RPG,1M,日本テレネット,デジタルデビル物語女神転生,"￥6,800","￥7,000代",1,ASCII_8KB
1984-01-01,MSX,-,16K,アスキー,テセウス,"￥4,800","￥5,000代",1,Mirrored
1985-01-01,MSX,-,16K,ＨＡＬ研究所,てつまん,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,不明,マスティール,テトラホラー,"￥4,800","￥5,000代",1,?
1988-01-01,MSX2,-,1M,BPS,テトリス,"￥6,800","￥7,000代",1,ASCII_8KB
1983-01-01,MSX,-,16K,ゼネラル,デビルズ・ヘブン,"￥4,800","￥5,000代",1,*0
1980-01-01,MSX2,-,1M,日本物産,テラクレスタ,￥,￥0代,1,?
1983-01-01,MSX,-,16K,アスキー,テレバニー,"￥4,800","￥5,000代",1,Mirrored
1984-01-01,MSX,-,16K,エニックス,ドアドア,"￥4,800","￥5,000代",1,Mirrored
1988-01-01,MSX2,-,不明,エミールソフト,とーくまん,"￥14,800","￥15,000代",1,?
