発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応
2006-12-02,-,-,-,任天堂,はじめてのWiiパック (Wiiリモコン同梱),-,10552,290,Wii,-
2006-12-02,38,"￥7,000代",ACT,任天堂,ゼルダの伝説トワイライトプリンセス,-,10553,55,Wii,-
2006-12-02,34,"￥6,000代",ACT,任天堂,おどるメイドインワリオ,-,10558,66,Wii,-
2006-12-02,31,"￥6,000代",-,セガ,スーパーモンキーボールウキウキパーティー大集合,-,10638,0,Wii,-
2006-12-02,-,-,-,バンダイナムコ,たまごっちのピカピカだいとーりょー！,-,10693,0,Wii,-
2006-12-02,33,"￥6,000代",ACT,バンダイナムコ,SDガンダムスカッドハンマーズ,-,10694,0,Wii,-
2006-12-02,-,-,-,バンダイナムコ,縁日の達人,-,10695,0,Wii,-
2006-12-02,-,-,-,ハドソン,ウィングアイランド,-,10782,0,Wii,-
2006-12-02,-,-,-,ハドソン,コロリンパ,-,10791,0,Wii,-
2006-12-02,32,"￥6,000代",ACT,コナミ,エレビッツ,-,10820,0,Wii,-
2006-12-02,34,"￥7,000代",ACT,ユービーアイソフト,レッドスティール,-,10972,0,Wii,-
2006-12-02,-,-,-,スパイク,ネクロネシア,-,11056,0,Wii,-
2006-12-02,-,-,-,テクモ,スイングゴルフパンヤ,-,11074,0,Wii,-
2006-12-02,32,"￥6,000代",ACT,アトラス,カドゥケウスZ2つの超執刀,-,11086,0,Wii,-
2006-12-02,-,-,-,バンソフト,クレヨンしんちゃん最強家族カスカベキングうぃー,-,11115,0,Wii,-
2006-12-02,30,"￥5,000代",SPT,任天堂,Wiiスポーツ,-,10551,379,Wii,-
2006-12-14,35,"￥6,000代",RPG,任天堂,ポケモンバトルレボリューション(ニンテンドーDS対応),-,10559,35,Wii,-
2006-12-14,-,-,-,セガ,ブリーチWii白刃きらめく輪舞曲,-,10639,0,Wii,-
2006-12-14,30,"￥6,000代",ACT,ユービーアイソフト,ラビッツ・パーティー,-,10976,0,Wii,-
2006-12-21,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードカーボン,-,10928,0,Wii,-
2006-12-21,-,-,-,ユービーアイソフト,モンスター4×4ワールドサーキット,-,10971,0,Wii,-
2007-01-01,-,-,-,バンダイナムコ,ドラゴンボールZスパーキング！ネオ,-,10696,0,Wii,-
2007-01-11,-,-,-,MTO,GTプロシリーズ(ステアリングアタッチメント同梱),-,11099,0,Wii,-
2007-01-18,31,"￥6,000代",ACT,任天堂,エキサイトトラック,-,10560,0,Wii,-
2007-01-25,-,-,-,コーエー,麻雀大会Wii,-,10904,0,Wii,-
2007-02-08,-,-,-,タイトー,クッキングママみんなといっしょにお料理大会！,-,11067,0,Wii,-
2007-02-22,33,"￥7,000代",SRPG,任天堂,ファイアーエムブレム暁の女神,-,10554,0,Wii,-
2007-02-22,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX,-,10951,0,Wii,-
2007-03-01,-,-,-,タイトー,電車でGO！新幹線EX山陽新幹線編,-,11071,0,Wii,-
2007-03-01,-,-,-,タイトー,はじめての電車でGO！セット(電車でGO！新幹線EX山陽新幹線編・専用コントローラー同梱パック),-,11072,0,Wii,-
2007-03-08,-,-,-,任天堂,アイシールド21フィールド最強の戦士たち,-,10561,0,Wii,-
2007-03-08,-,-,-,ハドソン,ボンバーマンランドWii,-,10801,0,Wii,-
2007-03-15,32,"￥7,000代",ACT,セガ,ソニックと秘密のリング,-,10640,0,Wii,-
2007-03-15,31,"￥6,000代",ACT,コーエー,ジーワンジョッキーWii,-,10892,0,Wii,-
2007-03-15,-,-,-,THQジャパン,スポンジ・ボブ,-,11034,0,Wii,-
2007-03-21,-,-,-,ハドソン,SUDOKU数独(パズルシリーズVol.1),-,10781,0,Wii,-
2007-03-21,-,-,-,コーエー,三國志11withパワーアップキット,-,10893,0,Wii,-
2007-03-22,-,-,-,THQジャパン,カーズ,-,11033,0,Wii,-
2007-03-29,-,-,-,ハドソン,めざせ！！釣りマスター,-,10803,0,Wii,-
2007-04-05,-,-,-,THQジャパン,バーンヤード主役はオレ、牛,-,11036,0,Wii,-
2007-04-19,35,"￥6,000代",ACT,任天堂,スーパーペーパーマリオ,-,10562,50,Wii,-
2007-04-19,-,-,-,タイトー,ふるふるぱーく,-,11070,0,Wii,-
2007-04-26,-,-,-,任天堂,Wiiでやわらかあたま塾,-,10563,32,Wii,-
2007-04-26,-,-,-,バンダイナムコ,ワンピースアンリミテッドアドベンチャー,-,10697,0,Wii,-
2007-04-26,-,-,-,ユークス,ザ・ドッグアイランドひとつの花の物語,-,11118,0,Wii,-
2007-05-17,-,-,-,マーベラス,名探偵コナン追憶の幻想,-,11011,0,Wii,-
2007-05-17,-,-,-,インターチャネル,マーベルアルティメットアライアンス,-,11103,0,Wii,-
2007-05-24,-,-,-,セガ,実戦パチスロ・パチンコ必勝法！Sammy'sCollection北斗の拳Wii,-,10641,0,Wii,-
2007-05-31,-,-,-,カプコン,バイオハザード4Wiiエディション,-,10865,0,Wii,-
2007-06-07,30,"￥7,000代",SLG,マーベラス,牧場物語やすらぎの樹,-,11008,111,Wii,-
2007-06-07,-,-,-,THQジャパン,パイレーツ・オブ・カリビアンワールド・エンド,-,11041,0,Wii,-
2007-06-14,-,-,-,マーベラス,ネギま！？ネオ・パクティオーファイト！！,-,10999,0,Wii,-
2007-06-21,-,-,-,サクセス,Go！Go！ミノン,-,11063,0,Wii,-
2007-06-21,-,-,-,AQインタラクティブ,はじめの一歩レボリューション,-,11082,0,Wii,-
2007-06-28,-,-,-,任天堂,ドンキーコングたるジェットレース,-,10564,0,Wii,-
2007-07-12,33,"￥7,000代",ACT,スクウェア・エニックス,ドラゴンクエストソード仮面の女王と鏡の塔,-,10672,49,Wii,-
2007-07-19,-,-,-,ハドソン,桃太郎電鉄16北海道大移動の巻！,-,10809,0,Wii,-
2007-07-19,34,"￥7,000代",SPT,コナミ,実況パワフルプロ野球Wii,野球,10844,0,Wii,-
2007-07-26,-,-,-,任天堂,マリオパーティ8,-,10565,0,Wii,-
2007-07-26,-,-,-,セガ,ぷよぷよ！15thanniversary,-,10642,0,Wii,-
2007-07-26,-,-,-,バンダイナムコ,機動戦士ガンダムMS戦線0079,-,10757,0,Wii,-
2007-07-26,-,-,-,ハドソン,ジグソーパズルきょうのわんこ,-,10794,0,Wii,-
2007-07-26,31,"￥6,000代",ACT,コナミ,デューイズアドベンチャー水精デューイの大冒険！！,-,10819,0,Wii,-
2007-07-26,-,-,-,アークシステムワークス,ギルティギアイグゼクスアクセントコア,-,11024,0,Wii,-
2007-08-02,35,"￥6,000代",ACT,任天堂,フォーエバーブルー,-,10566,0,Wii,-
2007-08-02,-,-,-,エレクトロニック・アーツ,ハリー・ポッターと不死鳥の騎士団,-,10935,0,Wii,-
2007-08-02,-,-,-,THQジャパン,レミーのおいしいレストラン,-,11037,0,Wii,-
2007-08-23,-,-,-,コンパイルハート,しゃるうぃー☆たころん,-,11094,0,Wii,-
2007-09-06,-,-,-,スターフィッシュ,新・中華大仙マイケルとメイメイの冒険,-,11105,0,Wii,-
2007-09-13,31,"￥6,000代",ACT,エレクトロニック・アーツ,SSXブラー,-,10916,0,Wii,-
2007-09-20,-,-,-,任天堂,マリオストライカーズチャージド,-,10567,0,Wii,-
2007-09-20,-,-,-,コーエー,戦国無双KATANA,-,10903,0,Wii,-
2007-09-27,-,-,-,バンダイナムコ,結界師黒芒楼の影,-,10760,0,Wii,-
2007-09-27,30,"￥6,000代",SLG,エレクトロニック・アーツ,ぼくとシムのまち,-,10940,0,Wii,-
2007-09-27,-,-,-,アークシステムワークス,バスフィッシングWiiロクマル伝説,-,11026,0,Wii,-
2007-10-04,33,"￥7,000代",ACT,バンダイナムコ,ドラゴンボールZスパーキング！メテオ,-,10731,0,Wii,-
2007-10-04,30,"￥7,000代",SPT,コナミ,実況パワフルメジャーリーグ2Wii,野球,10846,0,Wii,-
2007-10-25,31,"￥5,000代",SHT,セガ,ゴースト・スカッド,-,10643,0,Wii,-
2007-10-25,31,-,SHT,セガ,ゴースト・スカッド(Wiiザッパー同梱版),-,10644,0,Wii,-
2007-10-25,-,-,-,バンダイナムコ,銀魂万事屋ちゅーぶツッコマブル動画,-,10759,0,Wii,-
2007-10-25,30,"￥6,000代",ACT,コナミ,ダンスダンスレボリューションホッテストパーティー,-,10813,0,Wii,-
2007-10-25,30,-,ACT,コナミ,ダンスダンスレボリューションホッテストパーティー(専用マットコントローラ同梱版),-,10814,0,Wii,-
2007-10-25,33,"￥6,000代",ADV,カプコン,宝島Zバルバロスの秘宝,-,10886,0,Wii,-
2007-10-25,-,-,-,D3パブリッシャー,THEみんなでカート・レース(SIMPLEWiiシリーズVol.1),-,10984,0,Wii,-
2007-10-25,-,-,-,D3パブリッシャー,THEみんなでバス釣り大会(SIMPLEWiiシリーズVol.2),-,10985,0,Wii,-
2007-11-01,38,"￥6,000代",ACT,任天堂,スーパーマリオギャラクシー,-,10568,103,Wii,-
2007-11-01,31,"￥7,000代",RPG,コーエー,オプーナ,-,10890,0,Wii,-
2007-11-08,-,-,-,エレクトロニック・アーツ,タイガー・ウッズPGATOUR08,-,10924,0,Wii,-
2007-11-15,-,-,-,カプコン,バイオハザードアンブレラ・クロニクルズ,-,10855,27,Wii,-
2007-11-15,32,"￥7,000代",SHT,カプコン,バイオハザードアンブレラ・クロニクルズエキスパートパッケージ(Wiiザッパー同梱版),-,10857,0,Wii,-
2007-11-22,30,"￥6,000代",ACT,任天堂,マリオ&ソニックAT北京オリンピック,-,10569,59,Wii,-
2007-11-22,-,-,-,バンダイナムコ,ゲゲゲの鬼太郎妖怪大運動会,-,10717,0,Wii,-
2007-11-22,-,-,-,D3パブリッシャー,ドラゴンブレイド,-,10982,0,Wii,-
2007-11-29,31,"￥7,000代",ACT,カプコン,戦国BASARA2英雄外伝ダブルパック,-,10874,0,Wii,-
2007-11-29,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX2,-,10952,0,Wii,-
2007-11-29,-,-,-,テクモ,スイングゴルフパンヤ2ndショット！,-,11075,0,Wii,-
2007-12-01,-,-,-,任天堂,Wiiフィット(バランスWiiボード同梱),-,10570,0,Wii,-
2007-12-06,-,-,-,セガ,ドラえもんWiiひみつ道具王決定戦！,-,10645,0,Wii,-
2007-12-06,-,-,-,バンダイナムコ,たまごっちのフリフリ歌劇団！,-,10724,0,Wii,-
2007-12-06,-,-,-,バンダイナムコ,はねるのトびらWiiギリギリッス,-,10736,0,Wii,-
2007-12-06,-,-,-,バンダイナムコ,みんなで遊ぼう！ナムコカーニバル,-,10752,0,Wii,-
2007-12-06,-,-,-,ユービーアイソフト,ラビッツ・パーティーリターンズ,-,10979,0,Wii,-
2007-12-06,34,"￥7,000代",ACT,マーベラス,ノーモア★ヒーローズ,-,10992,0,Wii,-
2007-12-06,-,-,-,THQジャパン,ディズニープリンセス魔法の世界へ,-,11039,0,Wii,-
2007-12-13,-,-,-,セガ,ナイツ星降る夜の物語,-,10646,0,Wii,-
2007-12-13,33,"￥7,000代",RPG,スクウェア・エニックス,チョコボの不思議なダンジョン時忘れの迷宮,-,10674,0,Wii,-
2007-12-13,-,-,-,バンダイナムコ,ソウルキャリバーレジェンズ,-,10722,0,Wii,-
2007-12-13,32,"￥6,000代",SPT,カプコン,ウィーラブゴルフ！,ゴルフ,10850,0,Wii,-
2007-12-13,-,-,-,アークシステムワークス,プチコプターWiiアドベンチャーフライト,-,11028,0,Wii,-
2007-12-13,-,-,-,アークシステムワークス,式神の城3,-,11029,0,Wii,-
2007-12-13,-,-,-,サクセス,上海,-,11066,0,Wii,-
2007-12-20,-,-,SPT,コナミ,実況パワフルプロ野球Wii決定版,野球,10845,0,Wii,-
2007-12-20,-,-,-,エレクトロニック・アーツ,FIFA08ワールドクラスサッカー(EASPORTS),-,10913,0,Wii,-
2007-12-20,-,-,-,ユービーアイソフト,にゃんこと魔法のぼうし,-,10966,0,Wii,-
2007-12-20,-,-,-,ユービーアイソフト,わんこと魔法のぼうし,-,10967,0,Wii,-
2007-12-20,-,-,-,THQジャパン,スポンジ・ボブとなかまたちトイボットのこうげき,-,11035,0,Wii,-
2007-12-20,-,-,-,THQジャパン,ルイスと未来泥棒ウィルバーの危険な時間旅行,-,11042,0,Wii,-
2007-12-20,-,-,-,スターフィッシュ,雪ん娘大旋風さゆきとこゆきのひえひえ大騒動,-,11106,0,Wii,-
2007-12-20,-,-,-,日本システム,クレイジークライマーWii,-,11122,0,Wii,-
2007-12-27,-,-,-,バンダイナムコ,アニメスロットレボリューションパチスロ機動戦士ガンダム2哀・戦士編,-,10714,0,Wii,-
2007-12-27,-,-,-,バンダイナムコ,のだめカンタービレドリーム☆オーケストラ,-,10733,0,Wii,-
2007-12-27,-,-,-,タカラトミー,人生ゲームWii,-,10961,0,Wii,-
2007-12-27,-,-,-,D3パブリッシャー,遊んで覚えるTHEパーティー・カジノ(SIMPLEWiiシリーズVol.3),-,10986,0,Wii,-
2007-12-27,-,-,-,D3パブリッシャー,誰でも遊べるTHEシューティング・アクション(SIMPLEWiiシリーズVol.4),-,10987,0,Wii,-
2007-12-27,-,-,-,ロケットカンパニー,漢検Wii漢字王決定戦(財団法人日本漢字能力検定協会公認),-,11080,0,Wii,-
2007-12-27,-,-,-,SNK,メタルスラッグコンプリート,-,11091,0,Wii,-
2008-01-10,-,-,-,マーベラス,家庭教師ヒットマンリボーン！ドリームハイパーバトル！Wii,-,11006,0,Wii,-
2008-01-17,-,-,-,セガ,ソニックライダーズシューティングスターストーリー,-,10647,0,Wii,-
2008-01-17,31,-,ACT,アトラス,カドゥケウスニューブラッド,-,11085,0,Wii,-
2008-01-31,40,-,-,任天堂,大乱闘スマッシュブラザーズX,-,10571,156,Wii,-
2008-01-31,30,-,SPT,バンダイナムコ,ファミリースキー,-,10738,0,Wii,-
2008-01-31,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードプロストリート,-,10932,0,Wii,-
2008-02-07,-,-,-,タカラトミー,メジャーWii投げろ！ジャイロボール！！,-,10958,0,Wii,-
2008-02-07,-,-,-,D3パブリッシャー,お姉チャンバラレボリューション,-,10980,0,Wii,-
2008-02-14,-,-,-,エレクトロニック・アーツ,メダル・オブ・オナーヒーローズ2,-,10945,0,Wii,-
2008-02-14,-,-,-,エレクトロニック・アーツ,メダル・オブ・オナーヒーローズ2(Wiiザッパー同梱版),-,10946,0,Wii,-
2008-02-14,-,-,-,THQジャパン,WWE2008スマックダウンvsスロウ,-,11032,0,Wii,-
2008-02-21,-,-,-,セガ,ミブリー&テブリー,-,10648,0,Wii,-
2008-02-21,35,-,-,コナミ,ウイニングイレブンプレーメーカー2008,-,10833,0,Wii,-
2008-02-28,-,-,-,セガ,ウチ釣りッ！バスフィッシング,-,10649,0,Wii,-
2008-02-28,-,-,-,タカラトミー,チョロQWii,-,10956,0,Wii,-
2008-02-28,-,-,-,D3パブリッシャー,THEブロックくずし(SIMPLEWiiシリーズVol.5),-,10988,0,Wii,-
2008-02-28,-,-,-,D3パブリッシャー,THEワイワイ・コンバット(SIMPLEWiiシリーズVol.6),-,10989,0,Wii,-
2008-02-28,-,-,-,ジャレコ,全国デコトラ祭り,-,11093,0,Wii,-
2008-03-06,31,-,ACT,任天堂,メトロイドプライム3コラプション,-,10572,0,Wii,-
2008-03-06,-,-,-,任天堂,みんなの常識力テレビ,-,10573,0,Wii,-
2008-03-06,-,-,-,バンダイナムコ,ファミリージョッキー,-,10737,0,Wii,-
2008-03-06,-,-,-,コーエー,信長の野望革新withパワーアップキット&三國志11withパワーアップキットツインパック,-,10895,0,Wii,-
2008-03-06,-,-,-,コーエー,信長の野望革新withパワーアップキット,-,10896,0,Wii,-
2008-03-06,-,-,-,エレクトロニック・アーツ,プレイグラウンド公園であそぼう！,-,10937,0,Wii,-
2008-03-13,-,-,-,コーエー,ウイニングポスト7マキシマム2008,-,10887,0,Wii,-
2008-03-13,-,-,-,アクティビジョン,トランスフォーマーTHEGAME,-,11022,0,Wii,-
2008-03-13,-,-,-,スティング,バロックforWii,-,11098,0,Wii,-
2008-03-19,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッド2&3リターン,-,10650,0,Wii,-
2008-03-19,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッド2&3リターン(Wiiザッパー同梱版),-,10651,0,Wii,-
2008-03-19,-,-,SPT,ハドソン,デカスポルタWiiでスポーツ10種目！,-,10775,27,Wii,-
2008-03-19,-,-,-,ハドソン,ボンバーマンランドWii(ハドソン・ザ・ベスト),-,10802,0,Wii,-
2008-03-19,-,-,-,アクティビジョン,スパイダーマン3,-,11020,0,Wii,-
2008-03-27,-,-,-,エレクトロニック・アーツ,ニンジャリフレックス,-,10926,0,Wii,-
2008-03-27,-,-,-,ユービーアイソフト,ニトロバイク,-,10965,0,Wii,-
2008-03-27,-,-,-,アクティビジョン,レゴスター・ウォーズコンプリート・サーガ,-,11023,0,Wii,-
2008-03-27,31,-,ACT,スパイク,トゥームレイダーアニバーサリー,-,11054,0,Wii,-
2008-04-10,37,-,-,任天堂,マリオカートWii(Wiiハンドル同梱),-,10555,360,Wii,-
2008-04-10,-,-,-,マイルストーン,マイルストーンシューティングコレクションカラスWii,-,11048,0,Wii,-
2008-04-24,-,-,-,アイディアファクトリー,お掃除戦隊くりーんきーぱー,-,11107,0,Wii,-
2008-04-24,-,-,-,アイディアファクトリー,お掃除戦隊くりーんきーぱー限定版,-,11108,0,Wii,-
2008-05-01,30,-,ACT,任天堂,リンクのボウガントレーニング(Wiiザッパー同梱),-,10574,23,Wii,-
2008-05-01,-,-,-,バンダイナムコ,プロ野球ファミリースタジアム,-,10750,0,Wii,-
2008-05-15,-,-,-,任天堂,突撃！！ファミコンウォーズVS,-,10575,0,Wii,-
2008-05-22,-,-,-,アクティビジョン,ギターヒーロー3レジェンド・オブ・ロック,-,11017,0,Wii,-
2008-05-22,-,-,-,アクティビジョン,ギターヒーロー3レジェンド・オブ・ロックレスポールコントローラ同梱セット,-,11018,0,Wii,-
2008-05-22,-,-,-,サクセス,どうぶつ奇想天外！謎の楽園でスクープ写真を激写せよ！,-,11065,0,Wii,-
2008-05-29,-,-,-,バンダイナムコ,ファミリートレーナーファミリートレーナー専用マットコントローラ同梱,-,10742,0,Wii,-
2008-05-29,-,-,-,カプコン,バイオハザード4Wiiエディション(ベストプライス！),-,10867,0,Wii,-
2008-06-05,35,-,RPG,セガ,不思議のダンジョン風来のシレン3からくり屋敷の眠り姫,-,10652,0,Wii,-
2008-06-19,-,-,SPT,任天堂,スーパーマリオスタジアムファミリーベースボール,野球,10576,0,Wii,-
2008-06-19,-,-,-,セガ,ぷよぷよ！15thanniversaryスペシャルプライス,-,10671,0,Wii,-
2008-06-19,-,-,ADV,コーエー,遙かなる時空の中で4,-,10905,0,Wii,-
2008-06-19,-,-,-,ディズニー,ナルニア国物語第2章カスピアン王子の角笛,-,10983,0,Wii,-
2008-06-26,31,-,RPG,バンダイナムコ,テイルズ・オブ・シンフォニアラタトスクの騎士,-,10728,0,Wii,-
2008-06-26,-,-,-,AQインタラクティブ,ザ・ワールド・オブ・ゴールデンエッグスノリノリリズム系,-,11081,0,Wii,-
2008-07-03,-,-,-,スパイク,ジャワマンモスとヒミツの石,-,11051,0,Wii,-
2008-07-03,-,-,-,サクセス,アッコでポン！イカサマ放浪記,-,11064,0,Wii,-
2008-07-10,-,-,-,ハドソン,イラストロジック+からふるロジック(パズルシリーズVol.2),-,10796,0,Wii,-
2008-07-10,-,-,-,カプコン,バイオハザード0,-,10861,0,Wii,-
2008-07-17,33,-,ADV,エレクトロニック・アーツ,ブームブロックス,-,10938,0,Wii,-
2008-07-24,31,-,ACT,任天堂,ワリオランドシェイク,-,10577,0,Wii,-
2008-07-24,-,-,-,ハドソン,めざせ！！釣りマスター世界にチャレンジ！編,-,10805,0,Wii,-
2008-07-24,-,-,SPT,コナミ,実況パワフルプロ野球15,野球,10842,0,Wii,-
2008-07-24,-,-,-,アクティビジョン,カンフー・パンダ,-,11014,0,Wii,-
2008-07-24,-,-,-,アクティビジョン,スピード・レーサー,-,11021,0,Wii,-
2008-07-24,-,-,-,SNK,サムライスピリッツ六番勝負,-,11090,0,Wii,-
2008-07-31,34,-,ADV,任天堂,零月蝕の仮面,-,10578,0,Wii,-
2008-07-31,-,-,-,IEインスティテュート,250万人の漢検Wiiでとことん漢字脳(財団法人日本漢字能力検定協会公式ソフト),-,11062,0,Wii,-
2008-07-31,-,-,-,スティング,ドカポンキングダムforWii,-,11097,0,Wii,-
2008-08-07,-,-,-,セガ,忌火起草解明編,-,10653,0,Wii,-
2008-08-07,-,-,-,コナミ,サバイバルキッズWii,-,10824,0,Wii,-
2008-08-28,-,-,-,任天堂,キャプテン★レインボー,-,10579,0,Wii,-
2008-08-28,-,-,-,D3パブリッシャー,THEパーティーゲーム(SIMPLE2000シリーズWiiVol.2),-,10991,0,Wii,-
2008-09-04,-,-,-,インターチャネル,レインボーポップ,-,11104,0,Wii,-
2008-09-11,31,-,ACT,バンダイナムコ,ワンピースアンリミテッドクルーズエピソード1波に揺れる秘宝,-,10698,0,Wii,-
2008-09-18,-,-,-,ハドソン,コロリンパ(ハドソン・ザ・ベスト),-,10792,0,Wii,-
2008-09-18,-,-,-,カプコン,バイオハザードアンブレラ・クロニクルズ(ベストプライス！),-,10856,0,Wii,-
2008-09-18,-,-,-,コーエー,ジーワンジョッキーWii2008,-,10891,0,Wii,-
2008-09-25,31,-,ACT,任天堂,ディザスターデイ・オブ・クライシス,-,10580,0,Wii,-
2008-09-25,-,-,-,スクウェア・エニックス,ソウルイーターモノトーンプリンセス,-,10675,0,Wii,-
2008-09-25,-,-,-,ハドソン,ボンバーマン,-,10799,0,Wii,-
2008-09-25,-,-,-,エレクトロニック・アーツ,シムシティクリエイター,-,10919,0,Wii,-
2008-09-25,-,-,-,D3パブリッシャー,THEテーブルゲーム麻雀・囲碁・将棋・カード・花札・リバーシ・五目ならべ(SIMPLE2000シリーズWiiVol.1),-,10990,0,Wii,-
2008-10-02,31,-,SPT,コナミ,実況パワフルメジャーリーグ3,野球,10848,0,Wii,-
2008-10-09,-,-,-,アクティビジョン,スター・ウォーズフォース・アンリーシュド,-,11019,0,Wii,-
2008-10-16,-,-,-,任天堂,Wiiミュージック,-,10581,42,Wii,-
2008-10-16,32,-,SHT,バンダイナムコ,スカイ・クロライノセン・テイセス,-,10719,0,Wii,-
2008-10-16,-,-,-,バンダイナムコ,大怪獣バトルウルトラコロシアム,-,10762,0,Wii,-
2008-10-16,-,-,-,アクティビジョン,ギターヒーローエアロスミス,-,11015,0,Wii,-
2008-10-16,-,-,-,アクティビジョン,ギターヒーローエアロスミスギターコントローラ同梱セット,-,11016,0,Wii,-
2008-10-23,31,-,ACT,バンダイナムコ,ハッピーダンスコレクション,-,10735,0,Wii,-
2008-10-23,-,-,-,バンダイナムコ,プロゴルファー猿,-,10749,0,Wii,-
2008-10-23,-,-,-,エレクトロニック・アーツ,銀星テーブルゲームズWii,-,10950,0,Wii,-
2008-10-23,-,-,-,フロム・ソフトウェア,天誅4,-,11116,0,Wii,-
2008-10-30,-,-,-,エレクトロニック・アーツ,ぼくとシムのまちキングダム,-,10942,0,Wii,-
2008-10-30,-,-,-,マーベラス,牧場物語わくわくアニマルマーチ,-,11010,119,Wii,-
2008-10-30,-,-,-,マイルストーン,HulaWiiフラで始める美と健康！,-,11044,0,Wii,-
2008-10-30,-,-,-,ロケットカンパニー,シェイプボクシング(Wiiでエンジョイダイエット！),-,11077,0,Wii,-
2008-11-13,34,-,SPT,バンダイナムコ,ファミリースキーワールドスキー&スノーボード,-,10739,0,Wii,-
2008-11-13,-,-,-,コーエー,三國志11withパワーアップキット(コーエー・ザ・ベスト),-,10894,0,Wii,-
2008-11-13,30,-,SPT,エレクトロニック・アーツ,FIFA09オールプレイ(EASPORTS),-,10914,0,Wii,-
2008-11-13,-,-,-,タカラトミー,人生ゲームWiiEX,-,10962,0,Wii,-
2008-11-13,34,-,ACT,THQジャパン,ブロブカラフルなきぼう,-,11031,0,Wii,-
2008-11-13,-,-,-,マイルストーン,イルベロWii,-,11046,0,Wii,-
2008-11-13,-,-,-,IEインスティテュート,NEW右脳キッズWii,-,11059,137,Wii,-
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森(ニンテンドーDS対応),-,10582,139,Wii,-
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森Wiiスピーク同梱版(ニンテンドーDS対応),-,10583,0,Wii,-
2008-11-20,-,-,-,カプコン,戦国BASARA2英雄外伝ダブルパック(ベストプライス！),-,10875,0,Wii,-
2008-11-20,-,-,-,マーベラス,家庭教師ヒットマンリボーン！禁断の闇のデルタ,-,11007,0,Wii,-
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロを,-,11095,0,Wii,-
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロをバラエティパック,-,11096,0,Wii,-
2008-11-27,-,-,-,バンダイナムコ,ことばのパズルもじぴったんWiiデラックス,-,10718,0,Wii,-
2008-11-27,31,-,ACT,ハドソン,はたらくヒト,-,10797,0,Wii,-
2008-11-27,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX3,-,10953,0,Wii,-
2008-11-27,-,-,-,マーベラス,ルーンファクトリーフロンティア,-,11003,0,Wii,-
2008-12-04,40,-,-,セガ,428封鎖された渋谷で,-,10654,0,Wii,-
2008-12-04,-,-,-,バンダイナムコ,風のクロノアdoortophantomile,-,10763,0,Wii,-
2008-12-04,-,-,-,タカラトミー,ヤッターマンWiiビックリドッキリマシンで猛レースだコロン,-,10959,0,Wii,-
2008-12-04,-,-,-,タイトー,クッキングママ2たいへん！！ママはおおいそがし！,-,11069,0,Wii,-
2008-12-11,-,-,-,任天堂,ドンキーコングジャングルビート(Wiiであそぶセレクション),-,10584,0,Wii,-
2008-12-11,-,-,-,セガ,サンバDEアミーゴ,-,10655,0,Wii,-
2008-12-11,-,-,-,バンダイナムコ,太鼓の達人Wii専用コントローラ「太鼓とバチ」同梱版,-,10767,66,Wii,-
2008-12-11,32,-,ACT,カプコン,タツノコVSカプコンクロス・ジェネレーション・オブ・ヒーローズ,-,10851,0,Wii,-
2008-12-11,-,-,-,エレクトロニック・アーツ,フェイスブレイカーK.O.パーティー,-,10936,0,Wii,-
2008-12-11,-,-,-,タカラトミー,メジャーWiiパーフェクトクローザー,-,10957,0,Wii,-
